Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank/Archetypes	Supertypes/Subtypes	Cost	Rarity	Description
Aura Vision BS 1	BS	BS-001.png	Light/Nature	N/A	N/A	Special Rank Enhancement	Augment	2	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Immune to Blindness Counter(s) and Drain Counter(s).
Bulk Upgrade BS 2	BS	BS-002.png	Nature/Fire	N/A	N/A	Hyper Rank Enhancement	Augment	3	Common	Equip Player, Character (Attach this card to a relevant target in their Equip Zone.);The equipped target has +4 PLV.
Commander's Whistle BS 3	BS	BS-003.png	Dark	N/A	N/A	Hyper Rank Equipment	Augment	4	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);When this card enters the field, take control of the equipped Character until this card is destroyed.;If the equipped Character is removed from the field, destroy this card.
Cybernetic Implants BS 4	BS	BS-004.png	Metal	N/A	N/A	Hyper Rank Equipment	Augment	4	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Immune to Blindness Counter(s), Poison Counter(s), and Fracture Counter(s).
Doombringer BS 5	BS	BS-005.png	Null	N/A	N/A	Ultra Rank Equipment	Augment	4	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);Whenever the equipped Character attacks, target opponent Player sends the top 2 cards of their Deck to their Rift Zone.
Dreadforge Mindlink BS 6	BS	BS-006.png	Metal	N/A	N/A	Ultra Rank Equipment	Augment	4	Rare	Equip Player, Character (Attach this card to a relevant target in their Equip Zone.);Arm Up 2 (If 2 or more cards with Equip are attached to this card, this card is considered Armed Up.);All cards equipped to the equipped target count towards this card's Arm Up.;While this card is Armed Up, once per round you may heal target reachable Character or Player for 2 HP.
Electron Barrier BS 7	BS	BS-007.png	Storm	N/A	N/A	Ultra Rank Modifier	Augment	5	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character can't be targeted or affected by cards or abilities your opponents control unless they pay 2 TP for each card or ability that targets the equipped Character.
Energy Generator BS 8	BS	BS-008.png	Time	N/A	N/A	Hyper Rank Recovery	Augment	4	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Power Source 1.
Gift of Darkness BS 9	BS	BS-009.png	Dark	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Darkness-type Attacks.
Gift of Evergreen BS 10	BS	BS-010.png	Nature	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Nature-type Attacks.
Gift of Light BS 11	BS	BS-011.png	Light	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Light-type Attacks.
Gift of Steel BS 12	BS	BS-012.png	Metal	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Metal-type Attacks.
Gift of the Ages BS 13	BS	BS-013.png	Time	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Time-type Attacks.
Gift of the Flame BS 14	BS	BS-014.png	Fire	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Fire-type Attacks.
Gift of the Mineral BS 15	BS	BS-015.png	Earth	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Earth-type Attacks.
Gift of the Nebula BS 16	BS	BS-016.png	Space	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Space-type Attacks.
Gift of the Ocean BS 17	BS	BS-017.png	Water	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Water-type Attacks.
Gift of the Zephyr BS 18	BS	BS-018.png	Storm	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character deals 2 more Damage per hit with Storm-type Attacks.
Ironskin BS 19	BS	BS-019.png	Metal	N/A	N/A	Hyper Rank Enhancement	Augment	4	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);Once per round, during your Starting Phase, put 1 Shield Counter(s) on the equipped Character.
Junk Cycler BS 20	BS	BS-020.png	Earth/Water	N/A	N/A	Special Rank Equipment	Augment	2	Common	Equip Player (Attach this card to a relevant target in their Equip Zone.);Once per round, the equipped Player may discard a card to draw a card.
Karate Gi BS 21	BS	BS-021.png	Time	N/A	N/A	Hyper Rank Equipment	Augment	4	Common	Equip Player, Character (Attach this card to a relevant target in their Equip Zone.);The equipped target has Multistrike 1.
Medic's Touch BS 22	BS	BS-022.png	Light	N/A	N/A	Hyper Rank Modifier	Augment	4	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character may target their allies with Normal Rank Attacks. If they do, they heal their target for a number of HP equal to their PLV instead of dealing Damage.
Molecular Hyperdrive BS 23	BS	BS-023.png	Time	N/A	N/A	Ultra Rank Enhancement	Augment	6	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);If the equipped Character attacks successfully, gain 1 TP.
Morale Boost BS 24	BS	BS-024.png	Space	N/A	N/A	Special Rank Enhancement	Augment	3	Common	Equip Player (Attach this card to a relevant target in their Equip Zone.);The equipped Player can store an extra 2 TP.
Negate Draw BS 25	BS	BS-025.png	Water	N/A	N/A	Hyper Rank Curse	Augment	2	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Player (Attach this card to a relevant target in their Equip Zone.);Each time the equipped player would draw cards, Negate that draw unless they pay 1 TP.
Overclock BS 26	BS	BS-026.png	Time	N/A	N/A	Hyper Rank Modifier	Augment	3	Uncommon	Equip Player, Character (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 3 Power Counter(s).;If the equipped target attacks, put 1 Power Counter(s) on this card.;Remove 3 Power Counter(s): Gain 1 TP.
Overpower BS 27	BS	BS-027.png	Time/Nature	N/A	N/A	Devastation Rank Enhancement	Augment	8	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);Once per round, during your End Phase, put 1 Power Counter(s) on this card. The equipped Character has +X PLV, where X is the number of Power Counter(s) on this card.
Personal Compactor BS 28	BS	BS-028.png	Metal	N/A	N/A	Special Rank Modifier	Augment	2	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has -5 Level.
Reflective Shield BS 29	BS	BS-029.png	Metal	N/A	N/A	Hyper Rank Equipment	Augment	2	Common	Equip Character, Player (Attach this card to a relevant target in their Equip Zone.);Once per turn, the equipped target may pay 2 TP to Deflect 1 Attack of Hyper Rank or lower that targets them.
Serpent's Tongue BS 30	BS	BS-030.png	Nature	N/A	N/A	Hyper Rank Modifier	Augment	2	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);If the equipped Character attacks successfully, put 1 Poison Counter(s) on each target hit successfully by that Attack.
Superpower Aura BS 31	BS	BS-031.png	Light/Nature	N/A	N/A	Ultra Rank Enhancement	Augment	6	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Aura 1.
Technophobia BS 32	BS	BS-032.png	Earth	N/A	N/A	Hyper Rank Enhancement	Augment	4	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Immune to Equipment.;If the equipped Character attacks a target that has any Equipment cards equipped to them, that Attack deals double Damage.
Alex Leo BS 33	BS	BS-033.png	Fire	8	3	Level 6 Fighter	Character	3	Uncommon	Mastery of Fire-type (This card's Damage with Attacks that have at least 1 of the listed elements is doubled.);If this card attacks with a Fire-type Attack, put 1 Damage Counter on this card.
Animus Spirit Hakkon BS 34	BS	BS-034.png	Nature	7	2	Level 6 Undead	Character	3	Rare	Backup: Once per turn, during your Starting Phase, you may put 1 Poison Counter(s) on target Character. (This effect is active while this card is in your Backup Zone.);If this card attacks, put 1 Poison Counter(s) on this card and each target of that Attack.;This card heals instead of receiving Damage Counters from the effects of Poison Counter(s).
Arrogant Gangster BS 35	BS	BS-035.png	Dark	4	1	Level 2 Thug	Character	1	Common	If you have more HP than an opponent Player, this card has +2 PLV.
Aura Zephyr BS 36	BS	BS-036.png	Time/Storm	5	2	Level 4 Knight	Character	2	Uncommon	Flash (This card can attack the turn it enters the field.);Multistrike 1 (This card can perform their Normal Attack 1 more time(s) per round.)
Baron Ludevic BS 37	BS	BS-037.png	Metal	9	1	Level 7 Machine	Character	3	Uncommon	Provoke (Your opponents' attacks must target cards with this keyword first if they can reach them.);Once per turn, during your Starting Phase, this card heals for a number of HP equal to the number of cards with Equip equipped to it.
Captain Meteor BS 38	BS	BS-038.png	Space	5	1	Level 3 Cadet	Character	2	Common	If you draw a card, this card gains +1 PLV until this turn's End Phase.
Cort Destro BS 39	BS	BS-039.png	Metal/Fire	11	3	Level 10 Machine Soldier	Character	5	Rare	Reinforce 3 (If at least 3 Characters are in your Backup Zone, this card's Reinforce effect is active.);This card's Normal Rank Attacks are Fire-type. If its Reinforce is active, it has Mastery of Fire-type.
Cosmic Scribe BS 40	BS	BS-040.png	Space/Water	4	4	Level 5 Magician	Character	2	Uncommon	Carrier 2 (This card enters the field with 2 Power Counter(s) on it.);Once per round, you may remove 1 Power Counter(s) from this card to draw the top or bottom card of your Deck.
Crusader Golem BS 41	BS	BS-041.png	Light/Earth	3	1	Level 2 Golem	Character	1	Common	Your Fighter Pool can have any number of cards named Crusader Golem.;Other Golems you control have +1 HP and +1 PLV.
Dragonward Warrior BS 42	BS	BS-042.png	Metal/Earth	9	3	Level 7 Knight	Character	4	Rare	If this card is attacked, that Attack deals Basic Damage instead of Unblockable or True Damage.
Dreadforge Armorer BS 43	BS	BS-043.png	Metal/Water	10	3	Level 7 Machine	Character	3	Uncommon	Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);While this card is Armed Up, once per round you may put your choice of 2 Barrier Counter(s) or 2 Shield Counter(s) on target ally Character.
Dreadforge Assassin BS 44	BS	BS-044.png	Dark/Metal	8	4	Level 5 Machine	Character	2	Rare	Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);If this card Attacks successfully and is Armed Up, each target of that attack that received Damage gains Concussion until this turn's End Phase.
Dreadforge Conduit BS 45	BS	BS-045.png	Metal/Storm	10	2	Level 10 Machine Elemental	Character	5	Super Rare	Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);If this card Attacks and is Armed Up, gain 1 TP for each target of this Attack.
Dreadforge Predator BS 46	BS	BS-046.png	Metal/Nature	8	4	Level 6 Machine Fighter	Character	3	Common	Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);While this card is Armed Up, it has Lock-On.
Dreadforge Subjugator BS 47	BS	BS-047.png	Light/Metal	8	5	Level 8 Machine Brute	Character	4	Common	Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);When this card becomes Armed Up, Mute target reachable opponent Character until this card is no longer Armed Up.
Dust Elemental BS 48	BS	BS-048.png	Earth	6	1	Level 3 Elemental	Character	1	Common	If this card receives Damage Counters from an Attack, put 1 Fracture Counter(s) on the attacker.;If this card attacks, put 1 Fracture Counter(s) on each target of this Attack.
Escalus Kirby BS 49	BS	BS-049.png	Space/Storm	10	4	Level 9 Magician	Character	5	Rare	Backup: Power Source 1. (This effect is active while this card is in your Backup Zone.);Lock-On (This card ignores the targeting rules of Combat Zone Order.)
Forgemaster BS 50	BS	BS-050.png	Metal/Earth	16	3	Level 14 Machine Knight	Character	5	Ultra Rare	Stacker 3 (When this card enters the field, put 3 card(s) from your hand underneath this card. If you can't, destroy this card.);Unstack 1: Search your Deck for an Augment or Item card, then send that card to your Hand and shuffle your Deck. This ability can only be used once per round.
Fury Elemental BS 51	BS	BS-051.png	Fire	10	1	Level 5 Elemental	Character	2	Common	Flash (This card can attack the turn it enters the field.);Aura 2 (For every multiple of 2 Damage Counters this card has, it has +1 PLV.);During your End Phase, if this card didn't deal Damage this turn, send it to your Discard Pile.
Immortal Dead BS 52	BS	BS-052.png	Time/Dark	5	2	Level 4 Undead	Character	2	Uncommon	You may play this card from your Discard Pile as if it was in your Fighter Pool. If you do, you receive 4 True Damage.
Jam Blob BS 53	BS	BS-053.png	Light	6	2	Level 2 Slime	Character	1	Common	Immune to Fracture Counter(s) (This card cannot be targeted or affected by the listed card types, abilities, or effects.);When this card enters the field, you may put 2 Barrier Counter(s) on target ally Character.
Jungle Dryad BS 54	BS	BS-054.png	Nature	10	2	Level 6 Plant Fey	Character	3	Rare	All ally Characters have +X HP, where X is the number of Power Counter(s) on this card.;Once per round, you may pay 2 TP to put 1 Power Counter(s) on target ally Character.
Kreigendyne BS 55	BS	BS-055.png	Metal/Storm	9	2	Level 6 Machine	Character	3	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);This card can hold a maximum of 3 Power Counter(s). Once per turn, during your End Phase, put 1 Power Counter(s) on this card. X is equal to the number of Power Counter(s) on this card.;Power Source X (During your Starting Phase, you gain X TP.)
