Name	Set	ImageFile	Element	Hitpoints	Powerlevel	Subtypes	Supertypes	Cost	Rarity	Description
Abyssal Orb BS 001	BS	BS-001.png	Null	N/A	N/A	Hyper Rank Equipment	Augment	4	Super Rare	Mythical, Void, Equip Player or Character (Only one copy of this card can exist under your control. Attach this card to a relevant target. If this target would be destroyed, imprison it instead.);The attached target has Mastery of Null-type. (This target's Damage with Attacks that have at least 1 of the listed elements is doubled.)
Almadine Ring BS 002	BS	BS-002.png	Fire	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Fire-type. (This target and all Attacks it performs are the listed elements instead.)
Amazonite Ring BS 003	BS	BS-003.png	Storm	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Storm-type. (This target and all Attacks it performs are the listed elements instead.)
Ammonite Ring BS 004	BS	BS-004.png	Time	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Time-type. (This target and all Attacks it performs are the listed elements instead.)
Aura Vision BS 005	BS	BS-005.png	Light/Nature	N/A	N/A	Special Rank Enhancement	Augment	2	Common	Equip Character (Attach this card to a relevant target.);the attached target has Immune to Blindness, Drain. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Axinite Ring BS 006	BS	BS-006.png	Earth	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Earth-type. (This target and all Attacks it performs are the listed elements instead.)
Back Alley BS 007	BS	BS-007.png	Dark	N/A	N/A	Special Rank Debuff	Augment	2	Uncommon	Equip Player (Attach this card to a relevant target.);Whenever a Darkness-type enters, it gains its controller's choice of Blindness 2 or Fracture 2.
Blade of Kings BS 008	BS	BS-008.png	Light/Metal	N/A	N/A	Devastation Rank Equipment	Augment	6	Super Rare	Mythical, Equip Character (Only one copy of this card can exist under your control. Attach this card to a relevant target.);This card enters with 2 Power Counters on it. If the attached target Attacks, remove 1 Power Counter from this card. If this card has no Power Counters on it, destroy it.;The attached target's base PLV is doubled.
Breaker Blade BS 009	BS	BS-009.png	Metal/Earth	N/A	N/A	Hyper Rank Destruction Equipment	Augment	4	Uncommon	Equip Player (Attach this card to a relevant target.);This card enters with 2 Power Counters on it. If it has no Power Counters on it, destroy it.;Remove 1 Power Counter: Destroy 1 Item, Augment, or Zone. This ability can only be used once per turn.
Bulk Upgrade BS 010	BS	BS-010.png	Nature/Fire	N/A	N/A	Hyper Rank Enhancement	Augment	3	Common	Equip Player or Character (Attach this card to a relevant target.);The attached target gets +3 PLV.
