Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank	Typecasting	Cost	Rarity	Description
Gift of Ages EOE 1	EOE	EOE-001.png	Time	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =time= attacks.
Gift of Fire EOE 2	EOE	EOE-002.png	Fire	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =fire= attacks.
Gift of Ice EOE 3	EOE	EOE-003.png	Water	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =water= attacks.
Gift of Light EOE 4	EOE	EOE-004.png	Light	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =light= attacks.
Gift of Nature EOE 5	EOE	EOE-005.png	Nature	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =nature= attacks.
Gift of Shadow EOE 6	EOE	EOE-006.png	Dark	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =darkness= attacks.
Gift of Steel EOE 7	EOE	EOE-007.png	Metal	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =metal= attacks.
Gift of Stone EOE 8	EOE	EOE-008.png	Earth	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =earth= attacks.
Gift of the Nebula EOE 9	EOE	EOE-009.png	Space	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =space= attacks.
Gift of the Storm EOE 10	EOE	EOE-010.png	Storm	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user deals 3 more damage per hit with =storm= attacks.
Hypersonic Voice EOE 11	EOE	EOE-011.png	Null	N/A	N/A	Hyper Rank	Augment	6TP	Uncommon	Equip Self (Attach this card to a relevant target in their Equip Zone.);Carrier 2 (On Enter Field: Put 2 Power Counter(s) on this card.);While In Play: This card can hold up to 2 :power:.;Remove :power:: Destroy 1 card in an enemy's Equip Zone.
Medic's Touch EOE 12	EOE	EOE-012.png	Light	N/A	N/A	Hyper Rank	Augment	8TP	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user may perform their Normal Attack on ally Characters. If they do, heal targeted allies for !hp! equal to the damage that would have been dealt instead of dealing damage.
Molten Cannon EOE 13	EOE	EOE-013.png	Earth/Fire	N/A	N/A	Hyper Rank	Augment	5TP	Uncommon	Equip Self, Character (Attach this card to a relevant target in their Equip Zone.);Once per round, you may put 3 :drain: or 1 :fracture: on target enemy Character.
Overclock EOE 14	EOE	EOE-014.png	Time	N/A	N/A	Special Rank	Augment	5TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);On Attack: The user loses 1 !hp! and you gain 1 !tp!.
Prize Core EOE 15	EOE	EOE-015.png	Space	N/A	N/A	Ultra Rank	Augment	10TP	Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Self (Attach this card to a relevant target in their Equip Zone.);While In Play: This card can hold up to 3 :power:. If a Character gets Knocked Out, put 1 :power: on this card.;Remove :power:: Search your Deck for any card and put it in your Hand. Shuffle your Deck afterward.
Serpent Soul EOE 16	EOE	EOE-016.png	Nature	N/A	N/A	Hyper Rank	Augment	5TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);On Attack: Put 1 :poison: on each target of this attack.
Amphex, Charge Lord EOE 17	EOE	EOE-017.png	Storm	38	7	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Storm Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =storm=, hit all enemy Characters for 3 Unblockable damage.
Aqua Stalker EOE 18	EOE	EOE-018.png	Water	29	4	Level 9 Assassin	Character	5CS	Common	Carrier 3 (On Enter Field: Put 3 Power Counter(s) on this card.);While In Play: This card can hold up to 3 :power:. If a Character is sent to a Player's Discard Pile, put 1 :power: on this card.;Remove :power:: This card has +2 PLV and Water Mastery until this turn's End Phase. This effect can only be used once per turn.
Baridus, Forge Lord EOE 19	EOE	EOE-019.png	Metal	45	6	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Metal Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =metal=, put 1 :barrier: on target ally Character.
Cement Knight EOE 20	EOE	EOE-020.png	Earth/Water	28	4	Level 8 Golem	Character	5CS	Common	Multistrike 1 (This card can perform their Normal Attack 1 more time(s) per round.);While In Play: All Reactions used by enemy Players and Characters cost 1 more !tp! to play.
Comet Rider EOE 21	EOE	EOE-021.png	Space/Fire	16	4	Level 6 Rider	Character	5CS	Common	Fire, Space Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.)
Corvus, Shadow Lord EOE 22	EOE	EOE-022.png	Dark	30	7	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Darkness Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =darkness=, all enemy Players lose 2 !tp!.
Crusade Golem EOE 23	EOE	EOE-023.png	Light/Earth	18	1	Level 5 Golem	Character	3CS	Common	Your Fighter Pool can have any number of cards named Crusade Golem.;While In Play: Other Golem Characters you control get +1 !plv!.
Dawnstar Paladin EOE 24	EOE	EOE-024.png	Space/Light	30	5	Level 11 Knight	Character - Boss	6CS	Rare	Boss 1 (To play this card, send 1 Character card(s) from your Discard Pile to your Rift Zone.);Carrier 5 (On Enter Field: Put 5 Power Counter(s) on this card.);While In Play: This card can hold up to 5 :power:.;Remove :power:: Choose 1:;  [+] Heal target ally for 2 !hp!.;  [+] This card has +1 !plv! until this turn's End Phase.
Dust Elemental EOE 25	EOE	EOE-025.png	Time/Earth	16	4	Level 5 Elemental	Character	4CS	Uncommon	On Taking Damage: Put 1 :fracture: On the attacker.;On Attack: Put 1 :fracture: On each target for this attack.
Eon, Epoch Lord EOE 26	EOE	EOE-026.png	Time	35	6	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Time Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =time=, you gain 1 !tp!.
Frenzy Fighter EOE 27	EOE	EOE-027.png	Storm/Fire	26	3	Level 11 Fighter	Character	5CS	Uncommon	Aura 2 (For every multiple of 2 Damage Counters this card has, it has +1 PLV.);On Enter Field: Put 6 Damage Counters on this card.
Ignis, Flame Lord EOE 28	EOE	EOE-028.png	Fire	33	8	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Fire Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =fire=, all ally Characters have +2 !plv! until this turn's End Phase.
Immortal Dead EOE 29	EOE	EOE-029.png	Time/Dark	17	4	Level 6 Undead	Character	3CS	Common	You may play this card from your Discard Pile as if it was from your Fighter Pool.;On Knocked Out: Put 8 Damage Counters on target enemy Character.
Iquan, Sea Lord EOE 30	EOE	EOE-030.png	Water	35	6	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Water Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =water=, destroy 1 card in any Equip Zone.
Morphix, Stone Lord EOE 31	EOE	EOE-031.png	Earth	50	6	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Earth Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =earth=, target 1 enemy Character. Put 2 :blindness: on your target.
Nebulex, Star Lord EOE 32	EOE	EOE-032.png	Space	25	6	Level 18 Lord	Character - Boss	9CS	Uncommon	Boss 2 (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Space Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If you draw a card, you may reveal it. If that card is =space=, you may take a non-Character card from your Discard Pile and put it in your Hand.
