Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank	Typecasting	Cost	Rarity	Description
Back Alley GMT 1	GMT	GMT-001.png	Dark	N/A	N/A	Special Rank	Augment	4TP	Rare	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);Once per turn, before entering a Player's Draw Phase, that Player may skip their Draw Phase. If they do, they target 1 enemy Character. They put 2 :poison: on their target. If that Player also controls a =darkness= Character, they put 2 :curse: on their target.
Burning Spirit GMT 2	GMT	GMT-002.png	Fire	N/A	N/A	Special Rank	Augment	4TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);Aura 4 (For every multiple of 4 Damage Counters this card has, it has +1 PLV.)
Clock Tower GMT 3	GMT	GMT-003.png	Time	N/A	N/A	Hyper Rank	Augment	8TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All cards have -1 !tp!.;If a =time= Character attacks, that Character's controller gains 1 !tp!.
Coliseum of Heroes GMT 4	GMT	GMT-004.png	Light	N/A	N/A	Special Rank	Augment	5TP	Common	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);If a Player plays a Character from their Fighter Pool, if that Character is =light=, that Player heals for 2 !hp!.;If a Character gets Knocked Out, that Character's owner draws 1 card.
Dark Arcana GMT 5	GMT	GMT-005.png	Dark/Storm	N/A	N/A	Ultra Rank	Augment	10TP	Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The target has +2 !plv!.;During their controller's Battle Phase, the target may activate any non-Character Skill or Reaction cards from any Player's Discard Pile as if they were attached to them.
Deep Sea Fissure GMT 6	GMT	GMT-006.png	Water	N/A	N/A	Special Rank	Augment	5TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All players draw 1 more card at the end of their Draw Phase.;If a Player controls a Water-type Character, that Player draws 1 extra card during their Draw Phase.
Electrified Barrier GMT 7	GMT	GMT-007.png	Storm	N/A	N/A	Hyper Rank	Augment	8TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The target can't be targeted or affected by cards, effects, or attacks enemies control unless they pay 2 !tp!.
Freefall Arena GMT 8	GMT	GMT-008.png	Storm	N/A	N/A	Hyper Rank	Augment	6TP	Common	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All =storm= Characters have Flash.
Frozen Moment GMT 9	GMT	GMT-009.png	Time	N/A	N/A	Devastation Rank	Augment	5TP	Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);On Enter Field: Put 2 :curse: on this card.;While in Play: All Players no longer gain !tp! at the end of their Starting Phase. Additionally, All Players no longer draw cards at the end of their Draw Phase.
Healer's Tent GMT 10	GMT	GMT-010.png	Light	N/A	N/A	Special Rank	Augment	4TP	Common	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);Once per turn, during a Player's Starting Phase, all Characters that Player controls heal for 1 !hp!.
Hyperspeed GMT 11	GMT	GMT-011.png	Time/Light	N/A	N/A	Ultra Rank	Augment	10TP	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);Multistrike 1 (This card can perform their Normal Attack 1 more time(s) per round.)
Inner Peace GMT 12	GMT	GMT-012.png	Light	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);Once per round, during your Starting Phase, the target heals for 3 !hp!.
Mimic Powers GMT 13	GMT	GMT-013.png	Time/Dark	N/A	N/A	Hyper Rank	Augment	5TP	Super Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);While in Play: The target has +2 !plv!.;Once per round, the target may use a non-Character Skill or Reaction from any Player's Discard Pile as if it was attached to them. If they do, it becomes =darkness= instead of its original Elements until it resolves.
Mirrored Hide GMT 14	GMT	GMT-014.png	Metal	N/A	N/A	Hyper Rank	Augment	6TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);Pay 4 !tp!: Deflect 1 attack of Hyper Rank or lower.
Moebius Void GMT 15	GMT	GMT-015.png	Space	N/A	N/A	Hyper Rank	Augment	9TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All =space= Characters have -1 !tp!.
Mountaintop Plateau GMT 16	GMT	GMT-016.png	Earth	N/A	N/A	Hyper Rank	Augment	6TP	Common	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All Players have -2 Maximum !tp!. Additionally, All =earth= Characters have +5 !hp!.
Pit of Flames GMT 17	GMT	GMT-017.png	Fire	N/A	N/A	Special Rank	Augment	4TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All attacks deal 1 more damage per hit. If the attacker is =fire=, their attacks deal 2 more damage per hit instead.
Power Generator GMT 18	GMT	GMT-018.png	Time	N/A	N/A	Special Rank	Augment	5TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);Power Source 1 (During your Starting Phase, you gain 1 TP.)
Redwood Maze GMT 19	GMT	GMT-019.png	Nature	N/A	N/A	Hyper Rank	Augment	7TP	Rare	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);Once per turn, during a Player's Starting Phase, that Player may have target ally Character gain 2 !plv! until their End Phase.;Once per turn, during a Player's End Phase, if that Player controls a =nature= Character, they may send 1 non-Character card from their Discard Pile to the top of their Deck.
Sacred Grounds GMT 20	GMT	GMT-020.png	Light	N/A	N/A	Special Rank	Augment	2TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);Once per turn, during a Player's Starting Phase, that Player may choose an Element except for =light=. All cards of the chosen Element cost 2 more !tp! to play or activate until that Player's End Phase.
Steel Cage GMT 21	GMT	GMT-021.png	Metal	N/A	N/A	Ultra Rank	Augment	10TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: All attacks deal Relentless damage. Additionally, All non-=metal= Characters have Void.
Stone Body GMT 22	GMT	GMT-022.png	Earth	N/A	N/A	Special Rank	Augment	3TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While in Play: The target has +10 !hp! and -5 !plv!.
Tanglepatch GMT 23	GMT	GMT-023.png	Nature	N/A	N/A	Special Rank	Augment	4TP	Common	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);If a Character performs a successful Normal Attack on any Characters with no :paralyze:, put 1 :paralyze: on their targets.
Twisting Caves GMT 24	GMT	GMT-024.png	Earth	N/A	N/A	Hyper Rank	Augment	5TP	Common	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While in Play: Treat all Characters as if they have at least 1 :blindness:.
Viciousness GMT 25	GMT	GMT-025.png	Dark	N/A	N/A	Ultra Rank	Augment	10TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user's attacks deal Relentless damage.;On Attacked: This attack deals Relentless damage.
Years of Training GMT 26	GMT	GMT-026.png	Time/Nature	N/A	N/A	Hyper Rank	Augment	6TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The target has +2 !plv!.;If the target does not deal damage successfully during your turn, you lose 3 !tp! during your End Phase.;On Attack: You gain 1 !tp!.
Animus Spirit Hakkon GMT 27	GMT	GMT-027.png	Nature	28	5	Level 10 Undead	Character	5CS	Uncommon	On Successful Attack: Put 1 :poison: on each target of this attack and this card.;If this card removes :poison:, it heals for !hp! equal to the amount of Damage Counters it would have received instead of receiving Damage Counters.
Atholla, Soul of Lore GMT 28	GMT	GMT-028.png	Water	25	5	Level 10 Seafolk	Character - Level-Up	3CS	Rare	Level-Up Seawitch Atholla (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Pay 3 !tp!: Draw a card.;Discard a card: You gain 1 !tp!.
