Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank	Typecasting	Cost	Rarity	Description
Blessing of Seasons LNL 1	LNL	LNL-001.png	Nature	N/A	N/A	Hyper Rank	Augment	2TP	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: This card can hold up to 5 :power:. The user has +X !plv!, where X is the amount of :power: on this card.;Once per round, during your End Phase, put 1 :power: On this card.
Chastising Aura LNL 2	LNL	LNL-002.png	Light	N/A	N/A	Hyper Rank	Augment	6TP	Uncommon	Equip Self, Character (Attach this card to a relevant target in their Equip Zone.);On Taking Damage: This damage is divided by 2, rounded up.
Clarify LNL 3	LNL	LNL-003.png	Nature	N/A	N/A	Hyper Rank	Augment	6TP	Common	Equip Self, Character (Attach this card to a relevant target in their Equip Zone.);Once per round, you may discard a card. If you do, all enemy Players discard a card.
Dark Sovereignty LNL 4	LNL	LNL-004.png	Dark	N/A	N/A	Ultra Rank	Augment	10TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);Once per round, during your Starting Phase, put 1 :drain: on all enemy Characters.;While In Play: The user has Drain Immune. Additionally, the user has +X !plv!, where X is the amount of :drain: on all Characters.
Dreadforge Mindlink LNL 5	LNL	LNL-005.png	Metal	N/A	N/A	Ultra Rank	Augment	10TP	Rare	Equip Self, Character (Attach this card to a relevant target in their Equip Zone.);Arm Up 2 (If 2 or more cards with Equip are attached to this card, this card is considered Armed Up.);Cards attached to the user count towards this card's Arm Up.;While Armed Up: Once per round, you may target 1 card that has !hp!. Your target heals for 2 !hp!.
Exploding Arrival LNL 6	LNL	LNL-006.png	Time/Dark	N/A	N/A	Ultra Rank	Augment	10TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);If a Player plays a Character from their Fighter Pool, put 5 Damage Counters and 1 :timebomb: On that Character.
Furnace Fists LNL 7	LNL	LNL-007.png	Fire	N/A	N/A	Hyper Rank	Augment	8TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);On Successful Attack: You may destroy 1 Item or Augment attached to 1 of this attack's targets.
Gradual Power Surge LNL 8	LNL	LNL-008.png	Time/Storm	N/A	N/A	Ultra Rank	Augment	10TP	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Self (Attach this card to a relevant target in their Equip Zone.);While In Play: This card can hold an unlimited amount of :power:. If a card is sent to your Discard Pile from anywhere, put a :power: on this card.;Revome all :power:: You gain 1 TP for each :power: removed this way, then send this card to your Discard Pile.
Morale Call LNL 9	LNL	LNL-009.png	Space	N/A	N/A	Hyper Rank	Augment	2TP	Common	Equip Self (Attach this card to a relevant target in their Equip Zone.);While In Play: The user has +2 Maximum !tp!.
Nature's Wrath LNL 10	LNL	LNL-010.png	Nature	N/A	N/A	Hyper Rank	Augment	7TP	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: This card can hold up to 3 :power:.;Once per round, you may discard a card from your Hand. If you do, put 1 :power: on this card.;On Attack: You may remove 3 :power: to multiply this attack's damage by 2 per hit.
Powerlevel Spike LNL 11	LNL	LNL-011.png	Light	N/A	N/A	Hyper Rank	Augment	8TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);Aura 3 (For every multiple of 3 Damage Counters this card has, it has +1 PLV.);When Equipped: Put 6 Damage Counters on the user.
Tactical Brilliance LNL 12	LNL	LNL-012.png	Water	N/A	N/A	Hyper Rank	Augment	6TP	Uncommon	Equip Self, Character (Attach this card to a relevant target in their Equip Zone.);Once per round, you may reveal a Skill, Reaction, Item, or Augment attached to the user and swap it with a card from your Hand that matches 1 of its Supertypes except for cards named Tactical Brilliance.
Technophobia LNL 13	LNL	LNL-013.png	Earth	N/A	N/A	Hyper Rank	Augment	6TP	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);Item Immune (This card cannot be targeted or affected by cards or abilities with the listed effects.);On Attack: This attack's damage is multiplied by 2 per hit to each target that has any Items attached to them.
Arrogant Thug LNL 14	LNL	LNL-014.png	Dark	15	2	Level 4 Thug	Character	1CS	Common	While In Play: If you have more !hp! than an enemy Player, this card has +2 !plv!.
Dreadforge Armorer LNL 15	LNL	LNL-015.png	Metal/Water	30	3	Level 12 Mecha	Character	5CS	Uncommon	Water Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);While Armed Up: Once per round, put 2 :barrier: on target ally Character.
Dreadforge Assassin LNL 16	LNL	LNL-016.png	Dark/Metal	25	6	Level 13 Assassin	Character	3CS	Rare	Darkness Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);On Successful Attack: If the user is Armed Up, each target of this attack that received damage gains Concussion until this turn's End Phase.
Dreadforge Conduit LNL 17	LNL	LNL-017.png	Metal/Storm	20	4	Level 12 Cyborg	Character	3CS	Uncommon	Storm Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);On Attack: If this card is Armed Up, if this attack has more than 1 target, you gain 1 !tp! for each target of this attack.
Dreadforge Crusher LNL 18	LNL	LNL-018.png	Metal/Earth	30	4	Level 11 Brute	Character	5CS	Rare	Earth Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);While Armed Up: This card has +6 !plv! and +6 !hp!.
Dreadforge Predator LNL 19	LNL	LNL-019.png	Metal/Nature	15	4	Level 12 Assassin	Character	3CS	Rare	Nature Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);While Armed Up: This card has Lock-On.
Dreadforge Subjugator LNL 20	LNL	LNL-020.png	Light/Metal	25	6	Level 15 Brute	Character	6CS	Rare	Light Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Arm Up 3 (If 3 or more cards with Equip are attached to this card, this card is considered Armed Up.);On Armed Up: Target 1 enemy Character. Mute your target until this card is no longer Armed Up.
Fury Elemental LNL 21	LNL	LNL-021.png	Fire	20	5	Level 6 Elemental	Character	4CS	Common	Flash (This card can act the turn it enters the field.);Aura 3 (For every multiple of 3 Damage Counters this card has, it has +1 PLV.);During your End Phase, if this card didn't perform a successful attack, send this card to your Backup Zone.
Gravel Gnawer LNL 22	LNL	LNL-022.png	Earth	30	4	Level 10 Golem	Character	5CS	Common	Earth Mastery (This card's damage with attacks that have at least 1 of the listed elements is multiplied by 2.);This card deals Unblockable damage with all attacks.
Intrepid Archaeologist LNL 23	LNL	LNL-023.png	Time/Earth	20	2	Level 8 Cadet	Character	3CS	Common	On Enter Field: You may send any cards with Arena from the Field to their owner's Discard Piles. If you do, you gain 2 !tp! for each card with Arena sent this way.
