Name	Set	ImageFile	Element	Hit Points	Powerlevel	Defense	Agility	Level/Rank	Typecasting	Cost	Rarity	Description
Aura Vision	VIC	VIC-001.png	Nature	0	1	0	0	Special Rank	Augment	5TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Blindness Immune >> (This card cannot be targeted or affected by abilities with the listed effects.)
Bulk Upgrade	VIC	VIC-002.png	Nature	0	2	0	0	Hyper Rank	Augment	6TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Stun Immune >> (This card cannot be targeted or affected by abilities with the listed effects.)
Circuitry Overclock	VIC	VIC-003.png	Metal	0	0	0	2	Special Rank	Augment	4TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);This card can only be attached to Metal-type Characters.
Critical Hit	VIC	VIC-004.png	Dark	0	0	0	0	Special Rank	Augment	4TP	Uncommon	Equip Character, Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);On Attack: You may flip a coin. If Heads, this attack ignores DEF.
Dragon Scale	VIC	VIC-005.png	Fire	0	0	0	0	Hyper Rank	Augment	8TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Timebomb Immune >> (This card cannot be targeted or affected by abilities with the listed effects.);Put 1 Power Counter on this card every time a Timebomb Counter that gets put onto a Character.;At any time during your turn, you may remove X Power Counters. If you do, the user gets +X PLV.
Elemental Stone	VIC	VIC-006.png	Space/Nature	0	0	X	0	Hyper Rank	Augment	7TP	Uncommon	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);X is equal to the amount of Fire-type, Water-type, Storm-type, and Earth-type Characters on the field.
Extra Draw	VIC	VIC-007.png	Null	0	0	0	0	Special Rank	Augment	4TP	Uncommon	This card is Null-type.;Equip Player >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user draws 1 extra card from their Deck during your Draw Phase.
Focus Strike	VIC	VIC-008.png	Dark	0	2	0	0	Ultra Rank	Augment	12TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Once per round, during your Battle Phase, you may combine the total damage of 1 attack the user performs into a single hit before DEF calculations.
Hellrealm	VIC	VIC-009.png	Dark/Fire	0	0	0	0	Ultra Rank	Augment - Arena	11TP	Super Rare	Arena >> (Only 1 Arena Augment can be in play at any time. If another Arena Augment enters the field, destroy this card.);All attacks become Darkness-type instead of their existing elements.;Whenever a Player is in The Last Stand, that Player gets +10 PLV.
Ironskin	VIC	VIC-010.png	Metal	0	0	3	0	Special Rank	Augment	3TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);This card can't be attached Metal-type Characters.
Item Smelter	VIC	VIC-011.png	Metal/Fire	0	0	0	0	Special Rank	Augment	6TP	Uncommon	Equip Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Once per round, during your Starting Phase, you may destroy 1 Item you control. If you do, you gain TP equal to that card's TP cost divided by 2, rounded down.
Junk Cycle	VIC	VIC-012.png	Metal	0	0	0	0	Special Rank	Augment	3TP	Common	Equip Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Once per round, during your Draw Phase, you may discard a card. If you do, draw a card.
Life Force Destruction	VIC	VIC-013.png	Dark	0	0	0	0	Devastation Rank	Augment	16TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);If the user gets destroyed, hit all enemy Characters for [PLV*4] Relentless damage. (This attack's damage cannot be blocked, deflected, negated, or countered.)
Molecular Hyperdrive	VIC	VIC-014.png	Time	0	0	0	1	Hyper Rank	Augment	6TP	Uncommon	Equip Character, Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);On Successful Attack: The user gains 1 Combo Potential.
