Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank	Typecasting	Cost	Rarity	Description
Black Hole WLH 1	WLH	WLH-001.png	Space	N/A	N/A	Ultra Rank	Augment	10TP	Uncommon	Equip Self (Attach this card to a relevant target in their Equip Zone.);Carrier 2 (On Enter Field: Put 2 Power Counter(s) on this card.);Remove 1 :power:: Put target Character in their owner's Backup Zone. They can't act until their owner's next End Phase.
Caster Bug WLH 2	WLH	WLH-002.png	Dark	N/A	N/A	Ultra Rank	Augment	10TP	Common	Equip Player (Attach this card to a relevant target in their Equip Zone.);If the user plays or activates a card from their Hand, an Equip Zone they control, or a Character Zone they control, they lose 1 !hp!.
Chaos Bug WLH 3	WLH	WLH-003.png	Space	N/A	N/A	Ultra Rank	Augment	12TP	Common	Equip Player (Attach this card to a relevant target in their Equip Zone.);When Equipped: Put 2 :curse: On all Characters the user controls.;While In Play: All cards the user owns have Void.
Damage Bug WLH 4	WLH	WLH-004.png	Fire	N/A	N/A	Hyper Rank	Augment	6TP	Common	Equip Character, Player (Attach this card to a relevant target in their Equip Zone.);Once per round, during your Starting Phase, this card deals 2 Relentless damage to the user.
Emotion Bug WLH 5	WLH	WLH-005.png	Nature	N/A	N/A	Ultra Rank	Augment	10TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);Neutrality (This card is controlled by the Player who's taking their turn.)
Foresight Bug WLH 6	WLH	WLH-006.png	Water	N/A	N/A	Hyper Rank	Augment	8TP	Common	Equip Player (Attach this card to a relevant target in their Equip Zone.);While In Play: The user's Maximum Hand Size is decreased by 2.
God Aura WLH 7	WLH	WLH-007.png	Space	N/A	N/A	Legendary Rank	Augment	25TP	Ultra Rare	Equip Self (Attach this card to a relevant target in their Equip Zone.);While In Play: The user is in The Last Stand. Additionally, the user can't be targeted directly by cards they don't control unless they control no Characters.
Knowledge Bug WLH 8	WLH	WLH-008.png	Light	N/A	N/A	Ultra Rank	Augment	10TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The user can't have cards attached to them except for cards named Knowledge Bug.
Normality Purge WLH 9	WLH	WLH-009.png	Space	N/A	N/A	Ultra Rank	Augment - Arena	10TP	Uncommon	Arena (Play this card in your Arena Zone. You can only have 1 card in your Arena Zone at a time.);While In Play: Attacks can't give !tp!. All Normal Attacks are the attacker's Elements in addition to their other Elements.
Signature Lock WLH 10	WLH	WLH-010.png	Null	N/A	N/A	Ultra Rank	Augment	10TP	Super Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);When Equipped: Reveal 1 Skill or Reaction from your Hand and attach it to this card face-up. X becomes that card's !tp!.;Signature: X. (You may pay this cost to activate one of this card's Skill or Reaction effects.);On Signature Paid: Activate the face-up Skill or Reaction attached to this card. It does not get removed from the field once it resolves.
Stack Factory WLH 11	WLH	WLH-011.png	Metal	N/A	N/A	Special Rank	Augment	5TP	Common	Equip Self (Attach this card to a relevant target in their Equip Zone.);Once per round, you may target 1 Character or Buildup Skill you control. If you do, send the top card of your Deck to your target's Stack.
Status Bug WLH 12	WLH	WLH-012.png	Storm	N/A	N/A	Ultra Rank	Augment	12TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);When Equipped: Put 1 :paralyze:, 2 :timebomb:, 5 :drain:, 5 :poison:, 3 :blindness:, and 3 :fracture: on the user.;While In Play: Mute the user.
